date,windspeed
2024-10-17,21.7
2024-10-18,12.6
2024-10-19,14.0
2024-10-20,19.8
2024-10-21,24.1
2024-10-22,24.7
2024-10-23,16.0
2024-10-24,14.3
2024-10-25,13.1
2024-10-26,12.1
2024-10-27,35.3
2024-10-28,22.7
2024-10-29,15.4
2024-10-30,25.9
2024-10-31,35.2
2024-11-01,32.2
2024-11-02,17.8
2024-11-03,21.4
2024-11-04,12.9
2024-11-05,11.1
2024-11-06,10.2
2024-11-07,9.3
2024-11-08,21.5
2024-11-09,14.6
2024-11-10,13.5
2024-11-11,14.6
2024-11-12,12.1
2024-11-13,12.0
2024-11-14,22.8
2024-11-15,31.1
2024-11-16,31.7
2024-11-17,23.7
2024-11-18,26.0
2024-11-19,16.0
2024-11-20,15.4
2024-11-21,24.8
2024-11-22,19.6
2024-11-23,26.9
2024-11-24,28.0
2024-11-25,34.9
2024-11-26,25.4
2024-11-27,26.3
2024-11-28,39.7
2024-11-29,14.4
2024-11-30,17.2
2024-12-01,14.1
2024-12-02,19.1
2024-12-03,15.3
2024-12-04,19.0
2024-12-05,26.9
2024-12-06,23.8
2024-12-07,21.2
2024-12-08,37.6
2024-12-09,39.4
2024-12-10,31.6
2024-12-11,13.4
2024-12-12,11.0
2024-12-13,18.1
2024-12-14,20.7
2024-12-15,38.7
2024-12-16,45.0
2024-12-17,38.0
2024-12-18,38.9
2024-12-19,30.7
2024-12-20,33.6
2024-12-21,27.8
2024-12-22,23.8
2024-12-23,31.8
2024-12-24,17.1
2024-12-25,17.9
2024-12-26,17.8
2024-12-27,9.5
2024-12-28,18.2
2024-12-29,28.9
2024-12-30,40.8
2024-12-31,33.7
